EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
0	9	9.0
1	10	10.0
2	10	10.0
3	8	8.0
4	10	10.0
5	9	9.0
6	9	9.0
7	10	10.0
8	10	10.0
9	9	9.0
10	11	11.0
11	8	8.0
12	11	11.0
13	10	10.0
14	8	8.0
15	10	10.0
16	9	9.0
17	10	10.0
18	10	10.0
19	9	9.0
20	11	11.0
21	9	9.0
22	10	10.0
23	9	9.0
24	10	10.0
25	9	9.0
26	9	9.0
27	10	10.0
28	10	10.0
29	9	9.0
30	9	9.0
31	10	10.0
32	10	10.0
33	10	10.0
34	10	10.0
35	9	9.0
36	9	9.0
37	9	9.0
38	10	10.0
39	9	9.0
40	9	9.0
41	9	9.0
42	10	10.0
43	9	9.0
44	10	10.0
45	10	10.0
46	10	10.0
47	8	8.0
48	10	10.0
49	8	8.0
50	9	9.0
51	8	8.0
52	10	10.0
53	8	8.0
54	8	8.0
55	9	9.0
56	10	10.0
57	11	11.0
58	9	9.0
59	10	10.0
60	10	10.0
61	9	9.0
62	10	10.0
63	10	10.0
64	10	10.0
65	9	9.0
66	9	9.0
67	8	8.0
68	8	8.0
69	8	8.0
70	10	10.0
71	10	10.0
72	9	9.0
73	9	9.0
74	8	8.0
75	10	10.0
76	10	10.0
77	10	10.0
78	9	9.0
79	10	10.0
80	10	10.0
81	9	9.0
82	10	10.0
83	11	11.0
84	10	10.0
85	10	10.0
86	10	10.0
87	11	11.0
88	8	8.0
89	8	8.0
90	10	10.0
91	10	10.0
92	9	9.0
93	9	9.0
94	9	9.0
95	8	8.0
96	10	10.0
97	9	9.0
98	8	8.0
99	9	9.0
100	9	9.0
101	10	10.0
102	9	9.0
103	9	9.0
104	9	9.0
105	9	9.0
106	9	9.0
107	10	10.0
108	10	10.0
109	9	9.0
110	9	9.0
111	10	10.0
112	10	10.0
113	9	9.0
114	9	9.0
115	9	9.0
116	10	10.0
117	10	10.0
118	9	9.0
119	8	8.0
120	10	10.0
121	10	10.0
122	9	9.0
123	8	8.0
124	9	9.0
125	8	8.0
126	8	8.0
127	10	10.0
128	10	10.0
129	8	8.0
130	8	8.0
131	9	9.0
132	10	10.0
133	10	10.0
134	10	10.0
135	10	10.0
136	9	9.0
137	10	10.0
138	10	10.0
139	9	9.0
140	9	9.0
141	10	10.0
142	9	9.0
143	8	8.0
144	9	9.0
145	8	8.0
146	9	9.0
147	8	8.0
148	10	10.0
149	9	9.0
150	8	8.0
151	10	10.0
152	9	9.0
153	9	9.0
154	9	9.0
155	10	10.0
156	10	10.0
157	9	9.0
158	12	12.0
159	8	8.0
160	9	9.0
161	9	9.0
162	10	10.0
163	9	9.0
164	10	10.0
165	10	10.0
166	9	9.0
167	10	10.0
168	9	9.0
169	10	10.0
170	9	9.0
171	11	11.0
172	9	9.0
173	11	11.0
174	10	10.0
175	10	10.0
176	10	10.0
177	9	9.0
178	10	10.0
179	8	8.0
180	10	10.0
181	10	10.0
182	10	10.0
183	9	9.0
